idConfiguration,ACK,BIB,LONG_AFFILIATION,VARY_LATEX,stretch,vspace_bib,nbPages,sizePDF
24,"true","true","true","true",0.99,1.1456943926110774,5,220
25,"true","true","true","true",0.99,0.015470158769930742,5,220
26,"true","true","true","true",0.99,4.803975526622,4,220
27,"true","true","true","true",0.99,4.248063158078361,4,220
28,"true","true","true","true",0.99,2.541816754800869,4,220
29,"true","true","true","true",0.99,2.4205831467001397,4,220
3,"true","true","true","true",0.99,1.2332468262852336,5,220
30,"true","true","true","true",0.99,1.5378565563299023,5,220
31,"true","true","true","true",0.99,1.4598995233083194,5,220
32,"true","true","true","true",0.99,0.06090715998252061,5,220
33,"true","true","true","true",0.99,2.682399018447751,4,220
34,"true","true","true","true",0.99,0.7275080828516484,5,220
35,"true","true","true","true",0.99,1.8421023594755566,5,220
36,"true","true","true","true",0.99,3.5170449582243872,4,220
37,"true","true","true","true",0.99,3.595532641604631,4,220
38,"true","true","true","true",0.99,0.41872316612696303,5,220
39,"true","true","true","true",0.99,4.799132315162927,4,220
4,"true","true","true","true",0.99,3.597642523816753,4,220
40,"true","true","true","true",0.99,4.57210991812445,4,220
41,"false","true","false","true",0.99,0.41572611477674326,4,216
42,"false","true","false","true",0.99,1.4102033218609211,4,220
43,"false","true","false","true",0.99,2.934418149703782,4,216
44,"false","true","false","true",0.99,3.6167463427434816,4,216
45,"false","true","false","true",0.99,0.4815651078888328,4,216
46,"false","true","false","true",0.99,4.292527526187978,4,216
47,"false","true","false","true",0.99,0.016550413682334675,4,216
48,"false","true","false","true",0.99,3.575303043058527,4,216
49,"false","true","false","true",0.99,1.6469388179482962,4,216
5,"true","true","true","true",0.99,3.0323979052255896,4,220
50,"false","true","false","true",0.99,4.614637723607048,4,216
51,"false","true","false","true",0.99,1.5989533191109495,4,216
52,"false","true","false","true",0.99,1.783820652394763,4,216
53,"false","true","false","true",0.99,4.039458045880377,4,216
54,"false","true","false","true",0.99,0.639173986138365,4,216
55,"false","true","false","true",0.99,1.8389680218627902,4,216
56,"false","true","false","true",0.99,3.37367685764657,4,216
57,"false","true","false","true",0.99,2.0978009617335664,4,216
58,"false","true","false","true",0.99,3.2276175693453197,4,216
59,"false","true","false","true",0.99,2.358982035405398,4,216
6,"true","true","true","true",0.99,4.027755260810109,4,220
60,"false","true","false","true",0.99,0.2392033774134522,4,216
61,"false","true","false","true",0.99,4.068888991255452,4,216
62,"false","true","false","true",0.99,1.8278652935194035,4,216
63,"false","true","false","true",0.99,3.446789527189095,4,216
64,"false","true","false","true",0.99,4.201359259857071,4,216
