configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,memorytime
1050,true,true,true,false,false,true,false,false,true,20,5,3008,300.90,25.48,49.12,0
1051,true,true,true,true,true,true,false,true,false,20,1,3516,171.28,26.58,33.61,0
1052,true,true,true,true,true,true,false,false,false,40,5,3512,296.76,25.79,49.20,0
1053,true,true,true,false,false,true,false,false,true,20,1,3036,176.57,27.30,34.40,0
1054,true,false,true,true,false,false,true,false,true,40,1,4840,209.95,28.42,37.67,0
1055,true,false,true,true,true,true,true,true,false,20,9,4820,422.30,24.54,63.62,0
1056,true,false,true,true,true,true,true,false,false,40,9,4792,472.69,25.22,73.81,0
1057,true,false,true,true,true,true,true,true,false,20,5,4824,306.00,25.15,48.46,0
1058,true,false,true,true,false,false,true,true,true,20,9,4824,399.01,24.11,60.86,0
1059,true,false,true,true,false,false,true,false,true,40,5,4808,318.68,25.21,52.33,0
106,true,true,true,false,true,false,true,true,false,40,9,4164,383.54,24.76,58.88,0
1060,true,false,true,true,false,false,true,true,true,20,1,4840,210.68,27.47,37.41,0
1061,true,true,true,false,true,true,false,true,false,40,1,3088,175.16,27.06,34.58,0
1062,true,true,true,false,true,true,false,false,false,60,5,3056,298.47,25.80,49.86,0
1063,true,false,true,true,false,false,true,false,true,40,9,4800,444.94,25.26,70.99,0
1064,true,false,true,true,false,false,true,true,true,20,5,4832,293.85,25.22,47.02,0
1065,true,true,true,false,true,true,false,false,false,60,1,3092,179.26,27.35,36.07,0
1066,true,true,true,true,true,true,false,true,true,60,9,3556,399.87,24.14,60.53,0
1067,true,true,true,false,true,true,false,true,false,40,9,3068,400.67,24.22,60.73,0
1068,true,true,true,false,true,true,false,true,false,40,5,3068,276.60,25.82,45.33,0
1069,true,true,true,true,true,true,false,true,false,20,9,3496,394.69,23.84,59.31,0
107,true,false,true,false,false,false,false,true,false,20,1,3056,187.77,27.01,35.47,0
1070,true,true,true,false,true,true,false,false,false,60,9,3056,437.26,25.20,68.63,0
1071,true,true,true,true,true,true,false,true,true,60,1,3572,170.83,26.90,34.46,0
1072,true,true,true,true,true,true,false,true,true,60,5,3564,273.17,26.69,45.19,0
1073,true,false,true,true,true,true,true,false,false,20,1,4836,216.61,27.98,38.07,0
1074,true,false,true,false,true,false,false,true,true,20,9,3096,368.12,24.94,56.52,0
1075,true,true,true,true,false,false,false,false,false,40,1,3480,164.94,26.76,33.76,0
1076,true,false,true,false,true,true,true,false,false,60,9,4184,470.82,25.06,73.77,0
1077,true,false,true,true,false,false,true,true,false,60,9,4768,398.13,24.57,61.03,0
1078,true,false,true,false,true,true,true,true,false,40,5,4196,306.85,25.02,48.43,0
1079,true,false,true,false,true,true,true,true,false,40,9,4196,422.18,25.00,63.39,0
108,true,true,true,true,false,true,true,false,false,40,9,4696,452.47,25.10,70.40,0
1080,true,false,true,true,false,false,true,false,true,60,1,4840,211.45,27.79,37.64,0
1081,true,false,true,true,true,true,true,false,false,20,9,4792,468.50,25.09,73.64,0
1082,true,false,true,false,true,true,true,false,false,60,1,4212,218.05,27.61,38.04,0
1083,true,false,true,true,false,false,true,true,false,60,1,4784,209.50,27.89,37.23,0
1084,true,false,true,true,true,true,true,false,false,20,5,4804,329.45,24.97,53.61,0
1085,true,false,true,true,false,false,true,true,false,60,5,4772,289.71,24.99,46.71,0
1086,true,false,true,false,true,true,true,false,false,60,5,4184,333.80,25.35,54.53,0
1087,true,false,true,false,true,true,true,true,false,40,1,4212,218.29,27.44,38.07,0
1088,true,true,true,false,true,false,true,false,true,20,1,4232,197.69,27.87,36.26,0
1089,true,false,true,true,false,false,true,true,true,40,9,4824,392.02,25.20,59.88,0
109,true,false,true,false,true,false,false,false,false,60,9,3096,415.10,24.71,66.29,0
1090,true,true,true,false,true,false,true,false,true,20,5,4188,308.30,24.99,50.34,0
1091,true,true,true,true,false,false,false,true,true,60,9,3488,356.37,24.82,55.55,0
1092,true,true,true,false,true,false,true,false,true,20,9,4184,434.81,25.08,68.21,0
1093,true,false,true,true,false,false,true,false,true,60,5,4808,316.97,25.18,52.09,0
1094,true,false,true,true,false,false,true,true,true,40,1,4840,209.76,27.77,37.38,0
1095,true,false,true,true,false,false,true,false,true,60,9,4800,442.30,24.95,69.58,0
1096,true,false,true,true,false,false,true,true,true,40,5,4832,294.36,25.39,47.25,0
1097,true,true,true,true,false,false,false,false,false,40,5,3444,277.68,25.16,46.68,0
1098,true,true,true,true,true,true,false,false,true,20,9,3500,433.72,24.88,67.01,0
1099,true,true,true,true,false,false,false,true,false,20,1,3452,168.78,26.43,33.32,0
11,true,false,true,true,true,true,true,false,true,40,1,4892,212.72,27.24,37.43,0
110,true,false,true,false,false,false,false,true,false,20,5,3044,264.78,26.26,43.77,0
1100,true,false,true,false,true,false,false,true,true,40,9,3124,369.56,24.32,56.96,0
1101,true,false,true,false,true,false,false,false,true,60,9,3112,418.97,24.91,66.62,0
1102,true,true,true,true,false,false,false,false,false,40,9,3436,397.64,24.17,63.12,0
1103,true,false,true,false,true,false,false,true,true,40,5,3124,269.74,25.71,44.30,0
1104,true,true,true,true,false,false,false,true,false,20,5,3440,252.18,27.10,42.59,0
1105,true,false,true,false,true,false,false,false,true,60,5,3120,294.43,25.38,49.32,0
1106,true,true,true,true,false,false,false,true,true,60,5,3496,252.70,26.65,42.95,0
1107,true,true,true,true,true,true,false,false,true,20,1,3540,170.79,26.49,33.58,0
1108,true,false,true,false,true,false,false,true,true,40,1,3140,185.78,27.41,35.63,0
1109,true,true,true,true,false,false,false,true,false,20,9,3436,358.42,23.90,55.30,0
111,true,false,true,false,false,true,true,false,false,20,1,4180,216.16,27.76,37.93,0
1110,true,false,true,false,true,false,false,false,true,60,1,3140,185.17,27.10,35.93,0
1111,true,true,true,true,false,false,false,true,true,60,1,3512,163.86,27.11,34.02,0
1112,true,true,true,true,true,true,false,false,true,20,5,3512,296.73,25.32,48.37,0
1113,true,true,true,true,true,true,false,false,true,60,1,3572,170.54,26.17,34.17,0
1114,true,true,true,true,false,false,false,false,false,60,1,3484,165.30,26.65,34.02,0
1115,true,true,true,true,false,false,false,false,false,60,5,3448,276.78,25.73,46.93,0
1116,true,true,true,true,false,false,false,true,false,40,1,3480,163.46,26.77,33.87,0
1117,true,false,true,true,false,false,true,false,false,60,9,4740,444.14,24.76,70.56,0
1118,true,false,true,true,false,false,true,true,false,40,5,4772,292.64,25.20,46.87,0
1119,true,false,true,false,true,true,true,true,false,60,9,4196,420.12,24.92,63.03,0
112,true,false,true,false,true,false,false,false,false,60,5,3096,291.64,25.24,49.69,0
1120,true,false,true,true,true,true,true,false,true,20,5,4864,332.92,25.31,53.77,0
1121,true,false,true,true,false,false,true,true,false,40,9,4768,396.84,24.22,60.48,0
1122,true,false,true,true,false,false,true,true,true,60,1,4840,210.49,27.92,37.39,0
1123,true,false,true,true,true,true,true,false,true,20,1,4892,211.78,27.67,37.50,0
1124,true,false,true,false,true,true,true,true,false,60,1,4212,215.10,27.70,37.79,0
1125,true,false,true,true,false,false,true,false,false,60,1,4784,207.97,27.75,37.22,0
1126,true,false,true,false,true,true,true,true,false,60,5,4196,306.40,25.23,48.50,0
1127,true,false,true,true,false,false,true,false,false,60,5,4748,314.91,25.10,51.81,0
1128,true,false,true,true,false,false,true,true,false,40,1,4784,209.70,27.27,37.20,0
1129,true,true,true,false,true,false,true,false,true,60,1,4232,198.64,27.92,36.29,0
113,true,false,true,false,false,false,false,true,false,20,9,3040,366.85,24.73,56.57,0
1130,true,true,true,false,true,false,true,false,true,40,1,4232,202.60,27.20,36.36,0
1131,true,true,true,false,true,false,true,true,true,20,1,4232,205.11,27.69,37.20,0
1132,true,true,true,false,true,false,true,false,true,40,5,4188,304.64,24.85,50.27,0
1133,true,false,true,true,false,false,true,true,true,60,5,4832,289.63,24.97,46.60,0
1134,true,true,true,false,true,false,true,true,true,20,5,4208,280.75,25.33,45.44,0
1135,true,true,true,false,true,false,true,false,true,40,9,4184,434.17,24.78,68.34,0
1136,true,false,true,true,false,false,true,true,true,60,9,4824,392.54,24.96,59.87,0
1137,true,false,true,true,true,true,true,false,true,20,9,4852,468.02,25.21,73.11,0
1138,true,true,true,false,true,false,true,true,true,20,9,4208,386.37,24.74,59.06,0
1139,true,true,true,true,true,true,false,false,true,40,9,3528,431.32,24.97,66.94,0
114,true,false,true,false,false,true,true,false,false,20,5,4144,333.36,25.06,53.96,0
1140,true,true,true,true,false,false,false,false,false,60,9,3436,400.55,24.35,63.58,0
1141,true,true,true,true,false,false,false,true,false,40,5,3464,249.74,27.02,42.65,0
1142,true,false,true,false,true,false,false,true,true,20,5,3096,266.21,26.68,43.84,0
1143,true,true,true,true,true,true,false,true,true,20,5,3532,270.99,26.24,44.10,0
1144,true,false,true,false,true,false,false,false,true,40,9,3108,416.16,25.04,66.25,0
1145,true,false,true,false,true,false,false,true,true,20,1,3116,190.21,27.30,35.54,0
1146,true,true,true,true,false,false,false,true,false,40,9,3460,357.54,24.26,55.71,0
1147,true,true,true,true,true,true,false,true,true,20,9,3528,397.46,24.18,59.70,0
1148,true,false,true,false,true,false,false,false,true,40,5,3112,299.48,25.30,49.85,0
1149,true,true,true,true,true,true,false,false,true,40,1,3568,171.53,27.08,34.28,0
115,true,false,true,false,false,true,false,false,true,60,9,3100,455.15,25.25,71.58,0
1150,true,false,true,false,true,false,false,false,true,40,1,3140,192.10,27.27,36.20,0
1151,true,true,true,true,true,true,false,false,true,40,5,3540,302.80,25.62,49.72,0
1152,true,true,true,true,true,true,false,true,true,20,1,3540,174.31,26.88,33.96,0
116,true,false,true,false,true,false,false,false,false,60,1,3120,191.52,27.51,36.35,0
117,true,false,true,false,false,true,true,false,false,20,9,4144,474.27,25.22,74.22,0
118,true,false,true,false,false,true,false,false,true,60,5,3100,319.10,25.53,52.63,0
119,true,true,true,false,true,true,true,true,false,20,9,4172,415.45,25.15,62.54,0
12,true,true,true,false,true,false,false,true,true,40,5,3076,259.66,26.70,43.63,0
120,true,false,true,false,false,true,false,false,true,60,1,3120,191.56,27.02,36.40,0
121,true,true,true,false,false,true,true,true,true,40,5,4172,297.68,25.59,47.35,0
122,true,true,true,false,false,true,true,true,true,40,9,4168,419.49,24.21,62.67,0
123,true,true,true,false,true,true,true,true,false,20,1,4200,205.59,27.90,37.02,0
124,true,true,true,false,true,true,false,true,true,60,5,3092,278.90,25.99,45.74,0
125,true,true,true,false,true,true,true,true,false,20,5,4176,298.10,25.89,47.55,0
126,true,true,true,false,true,true,false,true,true,60,1,3116,186.56,27.65,36.63,0
127,true,true,true,false,true,true,false,true,true,40,9,3088,403.16,24.43,60.55,0
128,true,false,true,false,false,false,true,false,false,60,9,4136,452.75,25.13,71.41,0
129,true,false,true,false,false,true,true,false,true,20,1,4216,218.18,27.91,38.34,0
13,true,true,true,true,false,true,false,false,true,40,5,3496,296.79,25.98,49.19,0
130,true,false,true,true,true,true,false,true,false,40,9,3572,408.85,25.07,61.79,0
131,true,true,true,true,false,true,true,false,false,60,1,4748,200.68,27.84,36.42,0
132,true,false,true,false,false,true,true,false,true,20,5,4188,334.78,25.23,54.56,0
133,true,true,true,false,true,false,true,true,false,60,1,4192,204.96,27.92,36.80,0
134,true,false,true,true,true,true,false,true,false,40,5,3576,287.62,25.65,46.78,0
135,true,true,true,true,false,true,true,false,false,60,5,4708,319.69,25.13,51.95,0
136,true,false,true,false,false,true,true,false,true,20,9,4188,478.15,25.35,74.69,0
137,true,true,true,false,true,false,true,true,false,60,5,4164,284.58,25.72,46.17,0
138,true,false,true,false,false,false,true,false,false,60,5,4140,322.20,25.01,52.76,0
139,true,true,true,true,false,true,true,false,false,60,9,4696,451.80,25.16,70.40,0
14,true,false,true,false,true,true,false,false,false,20,9,3080,452.09,25.41,70.95,0
140,true,true,true,false,true,false,true,true,false,60,9,4164,386.65,24.57,59.21,0
141,true,false,true,false,false,false,false,true,false,40,1,3080,184.67,27.45,35.59,0
142,true,false,true,false,false,false,true,false,false,60,1,4164,215.32,27.89,38.04,0
143,true,false,true,false,false,false,false,true,false,40,5,3064,264.84,26.53,44.33,0
144,true,false,true,true,true,false,true,false,true,20,9,4840,450.63,25.01,70.81,0
145,true,false,true,false,false,true,false,false,true,40,9,3096,452.43,25.31,70.77,0
146,true,false,true,false,false,false,false,true,false,40,9,3068,372.59,24.72,57.81,0
147,true,false,true,true,true,false,true,false,true,20,5,4848,325.64,25.02,53.08,0
148,true,true,true,true,false,false,false,false,true,20,9,3436,398.15,24.80,62.68,0
149,true,false,true,false,false,true,false,false,true,40,5,3096,313.59,25.42,51.54,0
15,true,false,true,false,false,false,false,true,false,60,1,3084,189.10,27.49,36.38,0
150,true,false,true,true,true,true,false,true,false,60,5,3580,287.64,25.70,46.93,0
151,true,false,true,false,false,true,false,false,true,40,1,3116,187.34,27.50,36.04,0
152,true,true,true,false,true,true,true,false,true,60,9,4192,460.09,25.32,71.34,0
153,true,false,true,true,true,true,false,true,false,60,1,3580,184.21,27.51,36.16,0
154,true,true,true,false,true,true,true,false,true,60,5,4196,322.08,25.00,52.21,0
155,true,true,true,false,false,true,true,true,true,20,1,4184,204.77,27.64,36.69,0
156,true,true,true,false,true,true,true,false,true,60,1,4240,206.71,27.44,36.66,0
157,true,true,true,false,false,true,true,true,true,20,5,4172,295.20,25.27,46.82,0
158,true,true,true,false,true,true,false,true,true,40,5,3092,286.18,26.21,46.79,0
159,true,true,true,false,false,true,true,true,true,20,9,4168,418.18,24.94,62.32,0
16,true,true,true,false,true,false,false,true,true,40,1,3104,174.33,26.96,34.61,0
160,true,false,true,true,true,false,true,false,true,20,1,4880,210.65,27.89,37.61,0
161,true,true,true,true,false,false,false,false,true,20,5,3444,280.39,26.07,46.73,0
162,true,true,true,false,true,true,false,true,true,40,1,3112,177.29,26.79,34.79,0
163,true,true,true,true,false,false,false,false,true,20,1,3480,166.57,26.69,33.33,0
164,true,false,true,false,false,false,true,false,true,60,5,4184,321.94,24.97,52.67,0
165,true,true,true,true,false,true,false,true,false,40,5,3488,274.97,26.40,44.86,0
166,true,true,true,true,false,true,false,false,false,60,9,3460,432.44,24.98,68.03,0
167,true,false,true,true,true,false,false,true,false,40,9,3552,372.87,24.29,57.81,0
168,true,false,true,false,false,false,true,false,true,60,9,4176,448.16,25.06,70.89,0
169,true,true,true,true,false,true,false,false,false,60,5,3468,294.97,25.65,49.34,0
17,true,true,true,true,false,true,false,false,true,40,1,3520,167.30,27.04,34.09,0
170,true,true,true,true,false,true,false,true,false,40,1,3492,167.36,26.44,33.88,0
171,true,false,true,true,true,false,false,true,false,40,5,3556,264.65,26.38,44.08,0
172,true,true,true,true,false,true,false,false,false,60,1,3496,167.04,26.87,34.37,0
173,true,false,true,true,true,false,false,true,false,40,1,3564,181.67,26.92,35.29,0
174,true,false,true,false,false,false,true,false,true,60,1,4204,218.10,27.79,38.09,0
175,true,false,true,false,false,true,true,false,true,40,1,4216,219.51,27.90,38.18,0
176,true,false,true,false,false,true,true,false,true,40,5,4188,334.57,25.41,54.48,0
177,true,false,true,false,false,true,true,false,true,40,9,4188,477.43,25.49,74.29,0
178,true,true,true,true,false,true,false,true,false,40,9,3480,394.98,24.85,60.18,0
179,true,false,true,false,false,false,false,false,true,40,1,3104,187.20,27.04,35.71,0
18,true,false,true,false,true,true,false,false,false,20,5,3084,315.40,25.59,51.34,0
180,true,false,true,false,false,false,false,true,true,20,1,3076,185.83,27.29,35.32,0
181,true,false,true,false,false,false,false,false,true,40,5,3076,294.34,25.32,48.99,0
182,true,true,true,true,true,false,false,false,false,20,9,3456,398.21,24.90,63.14,0
183,true,false,true,false,false,false,false,true,true,20,5,3064,268.71,25.74,43.98,0
184,true,false,true,false,false,false,false,false,true,40,9,3072,414.65,24.89,65.74,0
185,true,false,true,false,false,true,true,false,true,60,1,4216,219.98,28.04,38.49,0
186,true,true,true,true,true,false,false,false,false,20,5,3464,278.73,25.22,46.70,0
187,true,false,true,false,false,false,false,true,true,20,9,3060,369.38,25.07,56.76,0
188,true,false,true,true,true,false,true,true,false,60,5,4812,294.85,25.34,47.11,0
189,true,true,true,true,true,false,false,false,false,20,1,3500,167.70,26.77,33.42,0
19,true,false,true,false,false,false,false,true,false,60,5,3068,265.68,26.37,44.85,0
190,true,false,true,true,true,false,true,true,false,60,1,4832,211.44,27.80,37.54,0
191,true,false,true,true,true,false,true,true,false,60,9,4808,395.31,24.96,60.43,0
192,true,false,true,false,false,false,true,false,false,20,9,4136,450.62,24.97,71.81,0
193,true,false,true,true,true,false,false,true,false,20,9,3524,368.07,24.82,56.81,0
194,true,true,true,true,false,true,false,true,false,20,5,3460,273.74,26.11,44.49,0
195,true,true,true,true,false,true,false,false,false,40,9,3460,430.26,25.17,67.37,0
196,true,true,true,true,true,false,true,true,true,60,9,4820,385.90,24.54,59.12,0
197,true,false,true,false,false,false,true,false,false,20,5,4140,320.61,25.19,52.78,0
198,true,false,true,true,true,false,false,true,false,20,5,3528,266.87,26.69,44.19,0
199,true,true,true,true,false,true,false,true,false,20,1,3464,167.97,26.81,33.61,0
2,true,true,true,false,true,true,false,true,true,20,5,3068,278.64,26.18,44.92,0
20,true,false,true,true,true,false,true,false,true,40,9,4840,451.98,24.98,71.15,0
200,true,true,true,true,false,true,false,false,false,40,5,3464,294.92,25.90,49.08,0
201,true,false,true,true,true,false,false,true,false,20,1,3536,185.29,27.41,35.16,0
202,true,true,true,true,false,true,false,false,false,40,1,3492,165.75,26.91,33.87,0
203,true,false,true,false,false,true,true,false,true,60,5,4188,335.43,25.00,54.46,0
204,true,false,true,false,false,true,true,false,true,60,9,4188,476.13,25.50,74.32,0
205,true,true,true,true,true,false,true,true,true,60,5,4824,283.28,25.54,45.63,0
206,true,false,true,false,false,false,true,false,false,20,1,4164,216.41,27.92,38.05,0
207,true,true,true,true,true,false,true,true,true,60,1,4840,197.52,27.57,35.81,0
208,true,true,true,true,false,true,false,true,false,20,9,3456,393.64,24.67,59.36,0
209,true,false,true,false,false,false,false,false,true,60,1,3104,187.19,26.98,36.08,0
21,true,true,true,false,true,false,true,false,true,60,5,4188,314.51,25.48,52.84,0
210,true,false,true,false,false,false,false,true,true,40,1,3104,197.95,28.62,38.87,0
211,true,false,true,false,false,false,false,false,true,60,5,3080,308.95,25.84,53.48,0
212,true,true,true,true,true,false,false,false,false,40,9,3480,417.41,25.39,69.16,0
213,true,false,true,false,false,false,false,true,true,40,5,3088,281.53,27.38,48.77,0
214,true,false,true,false,false,false,false,false,true,60,9,3076,436.23,25.64,72.29,0
215,true,true,true,true,true,false,false,false,false,40,5,3488,296.82,26.18,51.52,0
216,true,false,true,false,false,false,false,true,true,40,9,3088,386.40,25.13,62.55,0
217,true,true,true,true,true,false,false,false,false,40,1,3528,181.73,28.04,36.78,0
218,true,false,true,false,false,false,true,false,true,20,1,4204,228.16,28.87,41.49,0
219,true,true,true,false,false,true,true,true,false,60,1,4148,213.17,29.26,39.62,0
22,true,false,true,false,false,true,true,false,false,60,1,4180,229.38,29.02,41.69,0
220,true,true,true,true,false,true,false,false,false,20,5,3444,311.32,25.98,52.96,0
221,true,false,true,true,true,false,false,true,true,60,1,3596,197.74,28.34,38.79,0
222,true,true,true,false,false,true,true,true,false,60,5,4128,311.34,25.77,51.47,0
223,true,false,true,false,false,false,true,false,true,20,5,4184,344.10,25.71,58.09,0
224,true,true,true,true,false,true,false,false,false,20,1,3464,189.31,28.65,37.72,0
225,true,true,true,false,false,true,true,true,false,60,9,4128,430.27,25.21,67.68,0
226,true,false,true,true,false,true,true,true,true,20,1,4848,227.37,28.75,41.29,0
227,true,false,true,true,false,true,true,true,true,20,9,4840,445.11,25.74,69.73,0
228,true,false,true,true,false,true,true,true,true,20,5,4848,324.21,25.84,53.20,0
229,true,true,true,true,false,true,false,false,false,20,9,3436,455.87,25.69,72.98,0
23,true,false,true,false,true,false,false,false,false,20,5,3064,314.53,26.22,54.11,0
230,true,true,true,false,false,false,true,true,true,40,5,4164,293.36,25.94,49.84,0
231,true,true,true,false,false,false,true,true,true,40,9,4164,402.50,25.00,64.41,0
232,true,true,true,false,false,false,true,true,true,40,1,4184,212.33,29.36,39.75,0
233,true,true,true,true,true,false,false,false,false,60,9,3484,420.57,25.43,69.66,0
234,true,false,true,true,true,false,true,true,false,20,1,4832,224.61,29.51,41.31,0
235,true,false,true,true,true,false,true,false,false,40,5,4788,341.95,25.83,58.41,0
236,true,true,true,true,true,false,false,false,false,60,5,3492,298.53,26.13,52.25,0
237,true,false,true,true,true,false,true,false,false,40,1,4832,227.05,28.85,41.02,0
238,true,true,true,false,false,false,false,false,false,20,1,3004,186.42,28.26,37.27,0
239,true,true,true,true,true,false,false,false,false,60,1,3532,182.47,28.41,37.75,0
24,true,false,true,false,false,false,false,true,false,60,9,3072,386.00,25.37,63.32,0
240,true,false,true,true,true,false,true,true,false,20,9,4808,410.78,25.14,66.28,0
241,true,true,true,false,false,false,false,false,false,20,5,2972,297.62,25.97,51.18,0
242,true,false,true,true,true,false,false,true,true,60,9,3584,386.95,24.59,63.14,0
243,true,false,true,true,true,false,true,false,false,40,9,4780,471.75,25.62,77.47,0
244,true,false,true,true,true,false,true,true,false,20,5,4812,306.57,25.78,51.53,0
245,true,true,true,false,false,false,false,false,false,20,9,2968,422.29,25.40,69.19,0
246,true,false,true,true,true,false,false,true,true,60,5,3588,279.32,27.74,48.91,0
247,true,false,true,false,false,false,true,false,true,40,5,4184,340.06,25.61,57.75,0
248,true,false,true,true,true,false,false,true,false,60,9,3552,382.36,25.54,62.79,0
249,true,false,true,false,false,false,true,false,true,40,9,4176,475.25,25.55,77.76,0
25,true,false,true,true,true,false,true,false,true,40,5,4848,340.37,25.29,57.33,0
250,true,false,true,true,true,false,false,true,false,60,5,3560,273.41,26.74,46.42,0
251,true,false,true,true,true,false,true,false,false,60,1,4832,218.87,28.32,38.94,0
252,true,false,true,false,false,false,true,false,true,40,1,4204,220.69,28.24,39.00,0
253,true,false,true,true,true,false,false,true,false,60,1,3564,191.41,28.38,37.35,0
254,true,true,true,true,false,true,false,false,true,20,9,3460,444.44,25.59,69.31,0
255,true,true,true,true,false,true,false,false,true,20,5,3468,308.28,25.87,50.14,0
256,true,true,true,true,false,true,false,false,true,20,1,3492,174.73,27.18,34.60,0
257,true,true,true,true,false,true,true,false,true,20,1,4796,200.13,28.25,36.73,0
258,true,true,true,false,false,false,true,true,true,20,5,4164,285.30,26.31,46.51,0
259,true,true,true,false,false,false,true,true,true,20,9,4164,388.76,24.92,60.32,0
26,true,true,true,true,false,false,false,false,true,40,9,3460,401.76,25.09,63.85,0
