configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,memorytime
1,true,true,true,false,true,true,false,true,true,20,9,3068,324.12,21.08,50.00,0
10,true,true,true,true,false,true,false,false,true,40,9,3488,380.22,23.77,60.42,0
100,true,true,true,false,true,false,true,true,false,40,1,4192,195.20,27.69,35.52,0
1000,true,true,true,true,false,true,true,true,false,40,9,4732,420.48,25.30,63.12,0
1001,true,false,true,false,true,false,false,true,false,60,5,3104,279.28,26.73,46.75,0
1002,true,false,true,true,false,true,false,false,false,60,5,3520,314.50,25.26,52.06,0
1003,true,false,true,false,true,false,false,true,false,60,1,3120,189.83,27.62,36.52,0
1004,true,false,true,true,false,true,false,false,false,60,1,3532,187.75,27.29,36.19,0
1005,true,true,true,false,true,true,false,false,true,60,1,3116,180.22,27.26,35.47,0
1006,true,true,true,false,true,true,false,false,true,60,9,3076,441.61,25.53,69.45,0
1007,true,true,true,false,true,true,false,false,true,60,5,3080,310.66,25.52,50.99,0
1008,true,false,true,false,true,false,false,true,false,60,9,3104,376.11,25.24,58.39,0
1009,true,false,true,true,true,false,false,false,true,20,1,3564,188.05,27.32,35.53,0
101,true,false,true,false,false,false,true,false,false,40,5,4140,324.69,25.03,53.14,0
1010,true,false,true,true,false,true,false,false,false,60,9,3512,448.70,25.39,70.99,0
1011,true,true,true,true,true,true,false,false,false,20,1,3516,177.71,27.40,34.42,0
1012,true,false,true,true,true,true,true,false,false,60,5,4804,341.37,25.44,55.41,0
1013,true,false,true,true,true,true,true,true,false,40,1,4836,217.62,27.94,38.29,0
1014,true,false,true,true,true,true,true,false,false,60,1,4836,221.33,27.28,38.36,0
1015,true,true,true,true,true,true,false,false,false,20,9,3476,438.65,25.27,67.89,0
1016,true,true,true,true,true,true,false,false,false,20,5,3484,303.62,26.12,49.74,0
1017,true,true,true,true,false,false,false,true,false,60,1,3484,171.00,26.97,34.65,0
1018,true,false,true,true,true,true,true,true,false,40,9,4820,429.45,24.60,64.04,0
1019,true,true,true,true,false,true,true,true,false,60,1,4748,201.05,27.96,36.60,0
102,true,true,true,true,false,true,true,false,false,40,1,4748,197.55,28.23,36.15,0
1020,true,false,true,true,true,true,true,true,false,40,5,4824,308.20,25.42,48.89,0
1021,true,false,true,true,true,true,true,false,false,60,9,4792,481.63,25.32,74.85,0
1022,true,true,true,true,false,true,true,true,false,60,5,4740,297.35,25.38,47.33,0
1023,true,false,true,true,false,true,false,true,false,60,1,3532,187.79,27.14,36.26,0
1024,true,true,true,true,false,true,true,true,false,60,9,4732,412.36,24.95,61.76,0
1025,true,false,true,true,false,false,true,false,true,20,9,4800,450.25,25.20,71.22,0
1026,true,true,true,false,true,true,false,true,false,60,1,3092,175.60,27.16,35.35,0
1027,true,false,true,true,false,false,true,false,true,20,1,4840,214.02,28.39,37.96,0
1028,true,false,true,true,false,false,true,false,true,20,5,4808,321.35,25.12,52.71,0
1029,true,true,true,false,true,true,false,true,false,60,9,3072,399.33,24.51,61.13,0
103,true,true,true,false,true,false,true,true,false,40,5,4164,283.66,25.16,45.88,0
1030,true,false,true,false,true,false,false,false,true,20,9,3084,419.60,25.02,66.42,0
1031,true,true,true,true,false,false,false,true,false,60,5,3468,256.07,26.76,43.60,0
1032,true,true,true,true,true,true,false,true,true,40,9,3556,402.97,24.87,61.06,0
1033,true,false,true,false,true,false,false,false,true,20,5,3088,298.67,25.38,49.50,0
1034,true,true,true,false,true,true,false,true,false,60,5,3072,277.03,26.18,45.84,0
1035,true,true,true,true,false,false,false,true,false,60,9,3460,359.08,24.75,56.42,0
1036,true,false,true,false,true,false,false,false,true,20,1,3116,190.32,27.50,36.03,0
1037,true,false,true,true,false,true,false,true,false,60,9,3532,405.14,24.50,61.93,0
1038,true,true,true,true,true,true,false,false,true,60,5,3540,296.74,26.24,49.54,0
1039,true,true,true,true,true,true,false,true,true,40,1,3568,168.11,26.77,34.21,0
104,true,false,true,false,false,false,true,false,false,40,1,4164,212.46,28.29,37.93,0
1040,true,false,true,true,false,true,false,true,false,60,5,3540,281.63,25.75,46.65,0
1041,true,true,true,true,true,true,false,false,true,60,9,3532,438.47,25.32,68.15,0
1042,true,true,true,true,true,true,false,true,true,40,5,3560,278.28,25.74,45.12,0
1043,true,false,true,true,true,true,true,false,false,40,5,4804,333.47,25.08,54.19,0
1044,true,false,true,true,true,true,true,true,false,20,1,4836,214.35,27.56,37.73,0
1045,true,true,true,true,true,true,false,false,false,40,1,3540,170.22,26.41,34.04,0
1046,true,false,true,true,true,true,true,false,false,40,1,4836,214.93,27.97,37.95,0
1047,true,true,true,false,false,true,false,false,true,20,9,3004,437.82,25.14,67.43,0
1048,true,true,true,true,true,true,false,false,false,40,9,3500,432.65,25.13,67.77,0
1049,true,true,true,true,true,true,false,true,false,20,5,3504,273.66,26.26,44.61,0
105,true,true,true,true,false,true,true,false,false,40,5,4708,316.46,25.24,51.53,0
