idConfiguration,ACK,BIB,BOLD_ACK,BREF,EMAIL,JS_FOOTNOTESIZE,JS_SCRIPTSIZE,JS_STYLE,JS_TINY,LONG_ACK,LONG_AFFILIATION,PARAGRAPH_ACK,PL_FOOTNOTE,VARY_LATEX,bref_size,cserver_size,vspace_bib,nbPages,sizePDF
1,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",0.8,0.6,1.5,(null),216
10,"true","true","false","true","true","false","false","true","true","true","true","true","true","true",0.8,0.8,4.4,(null),224
100,"true","true","false","true","false","false","false","true","true","true","false","true","true","true",0.8,0.9,1.4,5,224
101,"true","true","true","true","false","false","true","true","false","true","true","false","false","true",0.8,0.9,1.8,5,216
102,"true","true","false","true","true","false","false","true","true","true","true","true","true","true",0.8,0.8,4.5,4,224
103,"true","true","true","true","true","false","true","true","false","true","true","false","true","true",1.0,0.9,4.9,5,220
104,"true","true","true","true","false","false","true","true","false","true","false","false","true","true",0.9,0.7,3.9,5,216
105,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",1.0,0.7,1.5,5,216
106,"true","true","true","true","false","false","true","true","false","false","true","false","true","true",1.0,0.6,2.9,5,220
107,"true","true","true","true","false","false","false","true","true","false","true","false","true","true",0.8,0.7,2.1,4,216
108,"true","true","true","true","false","false","false","true","true","true","true","false","true","true",1.0,0.9,4.7,5,216
109,"true","true","false","true","false","false","true","true","false","true","false","true","true","true",1.0,0.7,4.4,5,224
11,"true","true","true","true","false","false","false","true","true","false","true","false","false","true",0.7,0.6,2.4,4,216
110,"true","true","true","true","false","false","false","true","true","true","false","false","false","true",0.7,0.8,3.1,4,216
111,"true","true","true","true","false","false","true","true","false","true","true","false","true","true",0.7,0.6,1.9,5,216
112,"true","true","true","true","false","false","true","true","false","false","true","false","false","true",0.8,0.9,2.5,5,216
113,"true","true","true","true","false","false","false","true","true","false","false","false","true","true",1.0,0.8,3.5,4,216
114,"false","true","false","true","false","false","false","true","true","false","true","false","false","true",1.0,0.6,4.6,4,216
115,"true","true","true","true","false","false","true","true","false","false","false","false","false","true",1.0,0.7,4.8,5,220
116,"true","true","false","true","true","false","true","true","false","true","true","true","true","true",0.7,0.9,1.5,5,228
117,"true","true","false","true","false","false","true","true","false","true","false","true","true","true",0.9,0.8,4.4,5,224
118,"true","true","true","true","true","false","false","true","true","true","true","false","false","true",1.0,0.8,2.2,4,216
119,"true","true","true","true","false","false","true","true","false","false","false","false","true","true",0.8,0.9,1.2,5,216
12,"true","true","false","true","true","false","true","true","false","true","true","true","true","true",0.7,0.8,3.3,5,228
120,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",1.0,0.9,1.1,5,216
