idConfiguration,ACK,BIB,BOLD_ACK,BREF,EMAIL,JS_FOOTNOTESIZE,JS_SCRIPTSIZE,JS_STYLE,JS_TINY,LONG_ACK,LONG_AFFILIATION,PARAGRAPH_ACK,PL_FOOTNOTE,VARY_LATEX,bref_size,cserver_size,vspace_bib,nbPages,sizePDF
1,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.9,0.7,1.0,4,216
10,"true","true","false","true","true","false","true","true","false","false","true","true","true","true",0.8,0.6,4.2,5,232
100,"true","true","true","true","false","false","true","true","false","true","false","false","false","true",1.0,0.9,4.2,5,216
101,"false","true","false","true","true","false","true","true","false","false","true","false","true","true",0.8,0.9,2.5,4,220
102,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.9,0.7,1.4,5,216
103,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.8,0.8,2.1,5,216
104,"true","true","false","true","true","false","false","true","true","false","true","true","true","true",0.9,0.7,3.4,4,224
105,"false","true","false","true","true","false","true","true","false","false","true","false","false","true",0.8,0.9,4.3,5,220
106,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",0.8,0.7,2.5,4,216
107,"false","true","false","true","true","false","false","true","true","false","true","false","true","true",1.0,0.7,2.9,4,216
108,"true","true","false","true","false","false","false","true","true","false","false","true","true","true",0.8,0.9,3.2,5,224
109,"false","true","false","true","false","false","false","true","true","false","true","false","true","true",0.7,0.8,2.6,4,216
11,"true","true","true","true","false","false","true","true","false","false","false","false","true","true",0.8,0.9,4.7,5,216
110,"false","true","false","true","true","false","false","true","true","false","true","false","false","true",0.9,0.6,3.2,4,220
111,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",0.7,0.7,1.1,4,216
112,"false","true","false","true","false","false","true","true","false","false","true","false","false","true",0.9,0.7,5.0,4,224
113,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",0.8,0.7,2.8,4,216
114,"true","true","true","true","false","false","true","true","false","true","true","false","false","true",0.9,0.8,3.9,5,216
115,"true","true","true","true","false","false","true","true","false","true","false","false","true","true",0.9,0.7,3.7,5,220
116,"true","true","false","true","true","false","true","true","false","false","true","true","true","true",0.7,0.6,1.2,5,228
117,"true","true","false","true","false","false","false","true","true","false","true","true","false","true",1.0,0.6,3.2,4,224
118,"false","true","false","true","true","false","true","true","false","false","true","false","false","true",0.7,0.8,1.9,4,216
119,"false","true","false","true","true","false","false","true","true","false","true","false","true","true",0.7,0.9,1.3,4,220
12,"true","true","false","true","false","false","true","true","false","false","false","true","false","true",1.0,0.8,2.1,5,224
120,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",1.0,0.6,2.2,4,220
121,"true","true","true","true","false","false","true","true","false","false","false","false","false","true",0.7,0.7,1.4,4,224
122,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.9,0.6,3.4,4,220
123,"true","true","true","true","false","false","false","true","true","false","false","false","true","true",0.9,0.8,1.0,4,216
124,"false","true","false","true","false","false","false","true","true","false","true","false","false","true",0.9,0.9,1.8,4,216
125,"true","true","false","true","true","false","true","true","false","false","true","true","false","true",0.7,0.7,4.7,4,232
126,"true","true","false","true","false","false","false","true","true","true","true","true","false","true",0.9,0.6,1.8,4,224
127,"true","true","false","true","false","false","false","true","true","false","false","true","false","true",0.8,0.6,3.5,4,224
128,"false","true","false","true","false","false","true","true","false","false","true","false","true","true",0.9,0.6,2.8,4,216
129,"true","true","true","true","true","false","false","true","true","true","true","false","false","true",0.7,0.7,2.0,4,216
13,"true","true","true","true","false","false","true","true","false","true","false","false","true","true",0.9,0.7,1.9,5,216
130,"true","true","false","true","false","false","false","true","true","false","true","true","true","true",0.9,0.7,1.1,4,224
131,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",0.9,0.7,3.2,4,216
132,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.8,0.8,1.8,5,216
133,"true","true","false","true","false","false","false","true","true","false","false","true","false","true",0.8,0.9,4.8,4,228
134,"false","true","false","true","false","false","false","true","true","false","true","false","true","true",0.7,0.8,3.5,4,220
135,"false","true","false","true","false","false","true","true","false","false","true","false","true","true",1.0,0.6,4.7,5,220
136,"true","true","true","true","true","false","true","true","false","false","true","false","true","true",0.7,0.8,2.2,5,220
137,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.7,0.8,4.9,4,216
138,"true","true","false","true","false","false","true","true","false","true","true","true","true","true",1.0,0.7,4.0,5,224
139,"true","true","false","true","false","false","true","true","false","false","false","true","true","true",1.0,0.6,3.5,5,228
14,"true","true","false","true","true","false","true","true","false","true","true","true","true","true",0.7,0.9,1.4,5,232
140,"true","true","false","true","true","false","false","true","true","false","true","true","true","true",0.9,0.6,1.3,4,224
141,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",0.7,0.6,1.4,4,216
142,"false","true","false","true","true","false","false","true","true","false","true","false","true","true",1.0,0.8,4.2,4,220
143,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",0.7,0.6,4.2,4,216
144,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.8,0.9,2.7,5,216
145,"true","true","true","true","false","false","false","true","true","false","false","false","true","true",0.7,0.7,2.7,4,216
146,"false","true","false","true","false","false","false","true","true","false","true","false","true","true",1.0,0.8,4.2,4,224
147,"false","true","false","true","false","false","true","true","false","false","true","false","true","true",0.7,0.8,5.0,5,224
148,"true","true","true","true","true","false","false","true","true","true","true","false","false","true",0.8,0.9,2.6,4,216
149,"true","true","true","true","true","false","true","true","false","false","true","false","true","true",0.8,0.6,1.5,5,220
15,"true","true","false","true","true","false","false","true","true","false","true","true","true","true",0.9,0.7,4.3,4,228
150,"false","true","false","true","true","false","false","true","true","false","true","false","true","true",0.7,0.7,1.1,4,216
