idConfiguration,ACK,BIB,BOLD_ACK,BREF,EMAIL,JS_FOOTNOTESIZE,JS_SCRIPTSIZE,JS_STYLE,JS_TINY,LONG_ACK,LONG_AFFILIATION,PARAGRAPH_ACK,PL_FOOTNOTE,VARY_LATEX,bref_size,cserver_size,vspace_bib,nbPages,sizePDF
1,"true","true","true","true","false","false","true","true","false","true","true","false","false","true",0.7,0.8,2.2,5,264
10,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",1.0,0.8,4.9,4,260
100,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",1.0,0.6,1.3,4,260
101,"true","true","false","true","false","false","false","true","true","true","false","true","true","true",0.9,0.6,2.7,4,264
102,"false","true","false","true","false","false","false","true","true","false","true","false","false","true",1.0,0.8,1.3,5,264
103,"true","true","true","true","true","false","true","true","false","false","true","false","false","true",0.9,0.9,4.7,5,260
104,"true","true","false","true","false","false","true","true","false","false","false","true","true","true",0.7,0.8,4.4,5,264
105,"true","true","false","true","false","false","false","true","true","false","false","true","false","true",0.9,0.9,2.8,4,264
106,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",1.0,0.7,2.8,5,216
107,"true","true","false","true","false","false","true","true","false","true","true","true","true","true",0.9,0.7,2.8,5,224
108,"true","true","false","true","false","false","true","true","false","false","false","true","false","true",0.7,0.9,4.1,5,224
109,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.7,0.9,2.1,4,220
11,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",1.0,0.9,3.1,5,216
110,"false","true","false","true","false","false","true","true","false","false","true","false","true","true",0.8,0.6,4.6,4,216
111,"true","true","false","true","false","false","false","true","true","true","false","true","false","true",0.8,0.8,3.1,4,232
112,"true","true","false","true","false","false","true","true","false","true","false","true","true","true",1.0,0.6,4.5,5,224
113,"true","true","true","true","true","false","true","true","false","false","true","false","false","true",0.9,0.6,5.0,4,216
114,"false","true","false","true","true","false","true","true","false","false","true","false","true","true",0.9,0.8,3.8,5,220
115,"true","true","true","true","false","false","false","true","true","true","false","false","true","true",0.7,0.7,4.2,4,216
116,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",1.0,0.9,2.8,5,228
117,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",0.9,0.8,4.0,4,216
118,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.8,0.9,3.7,5,220
119,"true","true","false","true","false","false","true","true","false","false","false","true","false","true",0.8,0.8,2.6,5,224
12,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",0.8,0.9,1.2,5,216
