idConfiguration,ACK,BIB,BOLD_ACK,BREF,EMAIL,JS_FOOTNOTESIZE,JS_SCRIPTSIZE,JS_STYLE,JS_TINY,LONG_ACK,LONG_AFFILIATION,PARAGRAPH_ACK,PL_FOOTNOTE,VARY_LATEX,bref_size,cserver_size,vspace_bib,nbPages,sizePDF
1,"true","true","true","true","false","false","true","true","false","false","true","false","false","true",0.8,0.8,3.8,4,216
10,"false","true","false","true","true","false","false","true","true","false","true","false","false","true",0.9,0.7,3.1,5,216
100,"true","true","true","true","false","false","false","true","true","true","true","false","true","true",1.0,0.8,3.6,4,224
101,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.7,0.7,4.3,5,216
102,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",1.0,0.7,4.7,5,216
103,"true","true","false","true","false","false","true","true","false","true","false","true","false","true",0.8,0.8,1.4,4,224
104,"false","true","false","true","true","false","true","true","false","false","true","false","false","true",0.8,0.7,3.9,4,220
105,"true","true","false","true","false","false","true","true","false","true","false","true","false","true",0.7,0.8,2.8,5,228
106,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.8,0.8,1.0,5,220
107,"true","true","true","true","false","false","true","true","false","true","false","false","true","true",1.0,0.7,3.0,5,216
108,"false","true","false","true","false","false","true","true","false","false","true","false","false","true",1.0,0.7,3.4,5,220
109,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.7,0.9,1.2,4,216
11,"true","true","true","true","false","false","true","true","false","true","true","false","true","true",0.8,0.6,3.9,4,216
110,"false","true","false","true","false","false","false","true","true","false","true","false","true","true",0.7,0.9,3.3,4,220
111,"true","true","false","true","false","false","true","true","false","false","false","true","false","true",1.0,0.9,4.7,5,224
112,"true","true","false","true","false","false","false","true","true","false","false","true","false","true",0.7,0.8,2.5,4,224
113,"true","true","true","true","true","false","false","true","true","true","true","false","true","true",1.0,0.6,3.3,4,220
114,"false","true","false","true","true","false","true","true","false","false","true","false","false","true",0.9,0.9,4.2,5,216
115,"false","true","false","true","true","false","true","true","false","false","true","false","false","true",1.0,0.6,2.4,4,216
116,"true","true","true","true","false","false","false","true","true","false","false","false","false","true",0.9,0.8,1.9,4,216
117,"true","true","true","true","false","false","true","true","false","false","true","false","true","true",0.8,0.8,2.0,5,216
118,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",1.0,0.9,2.6,5,216
119,"false","true","false","true","false","false","true","true","false","false","true","false","true","true",0.7,0.7,2.4,5,220
