idConfiguration,ACK,BIB,BOLD_ACK,BREF,EMAIL,JS_FOOTNOTESIZE,JS_SCRIPTSIZE,JS_STYLE,JS_TINY,LONG_ACK,LONG_AFFILIATION,PARAGRAPH_ACK,PL_FOOTNOTE,VARY_LATEX,bref_size,cserver_size,vspace_bib,nbPages,sizePDF
1,"true","true","false","true","false","false","true","true","false","false","false","true","true","true",1.0,0.9,2.7,5,264
10,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.9,0.6,4.7,5,264
100,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",0.7,0.9,4.6,5,260
101,"true","true","true","true","false","false","false","true","true","true","false","false","true","true",0.8,0.6,2.3,5,264
102,"true","true","false","true","false","false","true","true","false","true","false","true","false","true",0.7,0.8,1.7,5,264
103,"false","true","false","true","true","false","false","true","true","false","true","false","false","true",1.0,0.8,2.6,5,260
104,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",1.0,0.7,2.6,4,264
105,"true","true","false","true","false","false","true","true","false","true","false","true","false","true",0.8,0.9,4.0,5,264
106,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.9,0.8,1.1,5,216
107,"true","true","false","true","true","false","false","true","true","true","true","true","true","true",0.7,0.9,2.5,5,224
108,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.7,0.8,2.2,4,220
109,"true","true","false","true","false","false","false","true","true","true","true","true","false","true",0.7,0.7,1.6,4,224
11,"true","true","true","true","false","false","true","true","false","true","true","false","true","true",0.9,0.8,4.3,5,220
110,"true","true","true","true","true","false","false","true","true","false","true","false","false","true",1.0,0.7,1.2,4,224
111,"true","true","false","true","true","false","true","true","false","true","true","true","true","true",0.7,0.6,2.4,5,228
112,"true","true","true","true","false","false","true","true","false","false","false","false","false","true",0.7,0.6,3.8,4,216
113,"false","true","false","true","true","false","true","true","false","false","true","false","false","true",0.8,0.9,4.9,5,220
114,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",1.0,0.6,2.4,4,220
115,"true","true","false","true","false","false","false","true","true","true","true","true","false","true",1.0,0.8,3.7,4,228
116,"true","true","false","true","true","false","true","true","false","false","true","true","false","true",0.8,0.6,3.2,4,224
117,"true","true","false","true","false","false","true","true","false","true","true","true","false","true",0.9,0.9,2.3,5,228
118,"false","true","false","true","true","false","true","true","false","false","true","false","false","true",0.8,0.6,3.4,4,220
119,"true","true","true","true","true","false","false","true","true","true","true","false","true","true",1.0,0.8,2.8,4,220
12,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",0.7,0.9,4.3,4,216
120,"true","true","true","true","false","false","true","true","false","true","true","false","false","true",0.7,0.8,1.7,5,216
121,"false","true","false","true","false","false","true","true","false","false","true","false","false","true",1.0,0.8,1.8,5,216
122,"false","true","false","true","true","false","false","true","true","false","true","false","true","true",1.0,0.8,4.6,4,224
123,"false","true","false","true","false","false","true","true","false","false","true","false","false","true",0.7,0.6,2.4,4,216
124,"true","true","true","true","false","false","true","true","false","true","true","false","false","true",1.0,0.9,3.4,5,216
125,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",0.7,0.6,1.9,4,220
126,"true","true","true","true","true","false","true","true","false","false","true","false","false","true",0.8,0.8,1.0,5,220
127,"true","true","true","true","false","false","true","true","false","false","false","false","false","true",0.9,0.8,3.2,5,216
128,"true","true","true","true","false","false","false","true","true","true","false","false","false","true",0.8,0.8,3.4,4,216
129,"true","true","true","true","false","false","false","true","true","true","true","false","false","true",0.9,0.7,1.1,4,216
13,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.8,0.8,3.6,4,216
130,"false","true","false","true","true","false","true","true","false","false","true","false","true","true",1.0,0.8,1.8,5,220
131,"true","true","false","true","false","false","true","true","false","false","true","true","true","true",0.7,0.6,3.0,5,224
132,"true","true","true","true","false","false","false","true","true","false","false","false","true","true",0.9,0.6,4.8,4,216
133,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",0.8,0.9,3.2,5,216
134,"true","true","false","true","false","false","true","true","false","true","false","true","false","true",0.7,0.7,1.5,5,224
135,"true","true","false","true","true","false","false","true","true","true","true","true","true","true",0.7,0.7,4.1,4,224
136,"false","true","false","true","false","false","false","true","true","false","true","false","true","true",0.8,0.8,1.6,4,216
137,"false","true","false","true","false","false","true","true","false","false","true","false","true","true",0.8,0.6,2.3,4,220
138,"false","true","false","true","true","false","true","true","false","false","true","false","true","true",1.0,0.8,3.7,5,228
139,"true","true","true","true","false","false","false","true","true","true","false","false","true","true",0.9,0.9,2.8,4,216
14,"true","true","true","true","false","false","true","true","false","true","false","false","true","true",0.9,0.6,3.9,5,216
140,"true","true","true","true","false","false","false","true","true","false","false","false","true","true",0.8,0.9,1.3,4,216
141,"true","true","true","true","false","false","true","true","false","false","true","false","false","true",0.9,0.7,3.7,4,224
142,"true","true","false","true","true","false","true","true","false","false","true","true","true","true",0.9,0.6,3.4,5,228
143,"true","true","false","true","false","false","true","true","false","false","true","true","true","true",0.9,0.6,2.2,5,224
144,"true","true","false","true","true","false","false","true","true","false","true","true","false","true",0.9,0.8,4.1,4,224
145,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.9,0.7,4.5,4,216
146,"true","true","true","true","false","false","false","true","true","true","true","false","true","true",0.7,0.6,4.0,4,220
147,"true","true","true","true","false","false","false","true","true","true","false","false","false","true",0.9,0.8,3.3,4,216
148,"true","true","false","true","false","false","false","true","true","true","true","true","true","true",0.9,0.6,3.9,4,224
149,"true","true","false","true","false","false","true","true","false","true","false","true","true","true",0.9,0.6,1.3,5,232
15,"false","true","false","true","true","false","true","true","false","false","true","false","true","true",1.0,0.6,4.7,5,216
150,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.8,0.8,2.1,4,220
151,"true","true","true","true","true","false","false","true","true","false","true","false","false","true",1.0,0.7,1.4,4,216
152,"false","true","false","true","false","false","true","true","false","false","true","false","true","true",0.7,0.8,1.8,5,216
153,"false","true","false","true","false","false","false","true","true","false","true","false","false","true",1.0,0.8,1.5,4,216
154,"false","true","false","true","true","false","true","true","false","false","true","false","false","true",0.9,0.8,3.8,5,216
155,"false","true","false","true","false","false","true","true","false","false","true","false","false","true",1.0,0.7,4.3,5,220
156,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.8,0.6,3.0,4,216
157,"true","true","false","true","true","false","false","true","true","false","true","true","false","true",0.8,0.9,1.4,4,224
158,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.7,0.7,3.9,4,216
159,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",1.0,0.6,1.9,4,220
16,"false","true","false","true","false","false","false","true","true","false","true","false","false","true",0.7,0.6,1.6,4,224
160,"false","true","false","true","true","false","false","true","true","false","true","false","false","true",1.0,0.7,1.6,4,216
161,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",1.0,0.8,3.1,5,216
162,"true","true","false","true","false","false","false","true","true","true","false","true","false","true",0.8,0.7,1.1,4,228
163,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",0.8,0.8,3.0,5,216
164,"true","true","false","true","false","false","false","true","true","false","false","true","false","true",0.8,0.9,4.4,4,224
165,"false","true","false","true","false","false","false","true","true","false","true","false","true","true",0.8,0.7,1.1,4,216
166,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",0.9,0.9,1.8,5,216
