idConfiguration,ACK,BIB,BOLD_ACK,BREF,EMAIL,JS_FOOTNOTESIZE,JS_SCRIPTSIZE,JS_STYLE,JS_TINY,LONG_ACK,LONG_AFFILIATION,PARAGRAPH_ACK,PL_FOOTNOTE,VARY_LATEX,bref_size,cserver_size,vspace_bib,nbPages,sizePDF
1,"false","true","false","true","true","false","false","true","true","false","true","false","true","true",0.7,0.8,3.0,5,220
10,"true","true","true","true","true","false","true","true","false","false","true","false","true","true",0.9,0.9,4.9,4,220
100,"false","true","false","true","false","false","false","true","true","false","true","false","true","true",1.0,0.9,3.6,5,220
101,"true","true","false","true","true","false","false","true","true","false","true","true","false","true",0.9,0.6,4.9,5,224
102,"true","true","true","true","false","false","false","true","true","false","false","false","false","true",0.7,0.6,1.7,5,216
103,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.7,0.8,1.6,4,216
104,"true","true","false","true","false","false","true","true","false","true","false","true","true","true",0.9,0.9,3.2,5,224
105,"true","true","true","true","false","false","true","true","false","false","false","false","false","true",0.8,0.8,1.1,5,216
106,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",1.0,0.7,3.9,5,216
107,"false","true","false","true","false","false","false","true","true","false","true","false","true","true",0.8,0.9,2.6,4,216
108,"true","true","true","true","true","false","true","true","false","true","true","false","true","true",0.7,0.7,2.8,5,220
109,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",1.0,0.8,3.2,4,220
11,"true","true","false","true","false","false","true","true","false","false","true","true","true","true",1.0,0.8,2.3,5,232
110,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.8,0.8,3.7,4,216
111,"false","true","false","true","false","false","false","true","true","false","true","false","false","true",0.8,0.7,3.6,4,216
112,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",1.0,0.8,1.2,5,216
113,"false","true","false","true","false","false","false","true","true","false","true","false","false","true",0.9,0.8,2.2,4,224
114,"true","true","false","true","false","false","true","true","false","false","false","true","false","true",0.8,0.6,2.9,4,224
115,"true","true","true","true","false","false","true","true","false","true","false","false","true","true",0.8,0.9,2.0,5,216
116,"true","true","false","true","false","false","false","true","true","true","true","true","true","true",0.7,0.9,2.9,5,224
117,"true","true","true","true","true","false","false","true","true","true","true","false","true","true",0.7,0.7,3.5,4,220
118,"false","true","false","true","true","false","false","true","true","false","true","false","false","true",0.9,0.7,2.0,4,216
119,"false","true","false","true","true","false","true","true","false","false","true","false","true","true",1.0,0.7,2.6,5,220
12,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",1.0,0.6,1.2,4,224
120,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.9,0.9,1.8,5,220
121,"true","true","true","true","false","false","false","true","true","true","true","false","false","true",0.9,0.7,1.0,4,216
122,"true","true","false","true","false","false","true","true","false","true","true","true","true","true",1.0,0.8,1.3,5,232
123,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",0.9,0.6,4.8,4,216
124,"true","true","true","true","false","false","true","true","false","true","false","false","true","true",1.0,0.7,1.0,5,216
125,"false","true","false","true","false","false","true","true","false","false","true","false","true","true",0.7,0.8,1.3,5,220
126,"true","true","true","true","true","false","false","true","true","true","true","false","true","true",1.0,0.9,1.3,5,220
127,"true","true","true","true","false","false","false","true","true","true","true","false","true","true",0.8,0.8,4.3,4,216
128,"false","true","false","true","true","false","false","true","true","false","true","false","true","true",0.9,0.6,3.5,4,216
129,"true","true","true","true","true","false","true","true","false","true","true","false","false","true",0.9,0.7,2.6,5,220
13,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",1.0,0.6,3.6,4,216
130,"false","true","false","true","false","false","false","true","true","false","true","false","true","true",1.0,0.8,1.2,4,220
131,"true","true","false","true","false","false","true","true","false","true","false","true","true","true",0.9,0.8,3.2,5,224
132,"true","true","true","true","false","false","true","true","false","true","false","false","false","true",0.7,0.7,5.0,4,216
133,"false","true","false","true","true","false","true","true","false","false","true","false","true","true",0.9,0.9,2.2,5,220
134,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",0.7,0.8,4.9,4,216
135,"true","true","false","true","false","false","false","true","true","false","true","true","true","true",0.9,0.6,3.0,4,228
136,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.8,0.6,1.8,4,224
137,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",0.8,0.9,1.2,4,220
138,"true","true","true","true","false","false","false","true","true","false","false","false","true","true",0.7,0.6,2.0,4,220
139,"true","true","true","true","false","false","false","true","true","false","false","false","true","true",0.8,0.6,1.3,4,220
14,"false","true","false","true","true","false","true","true","false","false","true","false","false","true",0.9,0.6,4.4,4,216
140,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",0.7,0.8,1.6,4,220
141,"true","true","false","true","false","false","false","true","true","true","false","true","false","true",0.8,0.9,3.3,4,224
142,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",0.7,0.7,3.1,4,216
143,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.9,0.9,3.6,4,216
144,"false","true","false","true","true","false","false","true","true","false","true","false","true","true",1.0,0.9,2.3,5,224
145,"true","true","false","true","true","false","true","true","false","false","true","true","true","true",0.7,0.8,1.9,5,228
146,"true","true","true","true","true","false","true","true","false","true","true","false","false","true",0.7,0.6,1.0,4,216
147,"true","true","true","true","false","false","false","true","true","false","false","false","false","true",0.9,0.8,3.7,4,220
148,"false","true","false","true","false","false","false","true","true","false","false","false","true","true",0.9,0.9,1.0,4,216
