idConfiguration,ACK,BIB,BOLD_ACK,BREF,EMAIL,JS_FOOTNOTESIZE,JS_SCRIPTSIZE,JS_STYLE,JS_TINY,LONG_ACK,LONG_AFFILIATION,PARAGRAPH_ACK,PL_FOOTNOTE,VARY_LATEX,bref_size,cserver_size,vspace_bib,nbPages,sizePDF
1,"true","true","false","true","true","false","true","true","false","false","true","true","true","true",0.8,0.6,3.9,(null),224
10,"true","true","true","true","true","false","false","true","true","true","true","false","false","true",0.9,0.6,1.4,(null),216
100,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",1.0,0.6,3.2,(null),216
101,"true","true","false","true","false","false","true","true","false","true","false","true","true","true",1.0,0.6,4.7,(null),228
102,"true","true","true","true","false","false","false","true","true","true","false","false","false","true",0.7,0.9,4.0,4,216
103,"false","true","false","true","false","false","false","true","true","false","false","false","false","true",0.8,0.6,2.2,4,216
104,"true","true","true","true","false","false","false","true","true","false","false","false","false","true",0.9,0.6,2.3,4,216
105,"true","true","false","true","true","false","false","true","true","true","true","true","true","true",0.7,0.8,1.1,4,224
106,"true","true","true","true","true","false","true","true","false","false","true","false","true","true",0.8,0.9,1.8,5,220
107,"true","true","true","true","true","false","true","true","false","false","true","false","false","true",0.7,0.8,2.8,5,220
108,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.7,0.8,2.9,5,216
109,"false","true","false","true","true","false","false","true","true","false","true","false","false","true",0.9,0.7,4.9,4,216
11,"true","true","true","true","true","false","true","true","false","true","true","false","true","true",1.0,0.7,1.7,5,220
110,"true","true","true","true","false","false","true","true","false","false","false","false","true","true",1.0,0.6,1.8,5,216
111,"true","true","true","true","false","false","true","true","false","false","true","false","true","true",0.7,0.6,2.8,4,220
112,"true","true","false","true","true","false","true","true","false","true","true","true","true","true",0.8,0.8,3.4,5,228
113,"true","true","true","true","false","false","true","true","false","true","false","false","false","true",1.0,0.7,1.0,5,216
114,"true","true","false","true","false","false","true","true","false","true","false","true","true","true",0.8,0.8,3.5,5,224
115,"true","true","false","true","false","false","false","true","true","false","false","true","false","true",1.0,0.6,3.1,4,224
116,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",0.8,0.7,1.5,4,216
117,"true","true","false","true","false","false","true","true","false","true","true","true","true","true",1.0,0.9,1.5,5,224
118,"true","true","true","true","true","false","false","true","true","true","true","false","true","true",0.9,0.9,1.1,5,220
119,"true","true","false","true","false","false","true","true","false","true","false","true","true","true",1.0,0.7,3.8,5,224
12,"true","true","false","true","false","false","true","true","false","false","false","true","false","true",0.9,0.8,1.4,5,224
120,"true","true","false","true","true","false","true","true","false","false","true","true","false","true",0.8,0.8,2.2,5,224
121,"true","true","true","true","false","false","true","true","false","true","false","false","false","true",0.7,0.6,2.9,4,216
122,"true","true","false","true","false","false","false","true","true","true","false","true","true","true",0.7,0.8,4.3,4,224
123,"true","true","false","true","false","false","true","true","false","true","false","true","true","true",0.7,0.6,4.4,5,224
124,"true","true","false","true","false","false","false","true","true","true","false","true","true","true",0.9,0.9,1.2,5,224
125,"true","true","false","true","true","false","false","true","true","false","true","true","false","true",0.9,0.6,3.8,4,224
