idConfiguration,ACK,BOLD_ACK,EMAIL,FIGURE_TUX,LONG_AFFILIATION,MORE_ACK,SUBTITLE,VARY_LATEX,size_tux,vspace_tux,nbPages,sizePDF
1,"true","false","true","true","true","true","false","true",3.3,9,1,300
10,"true","true","false","true","false","false","true","true",3.5,6,1,296
100,"false","false","true","true","true","false","false","true",5.0,7,2,300
101,"false","false","true","true","true","false","false","true",4.5,6,2,300
102,"true","true","true","true","true","true","false","true",3.8,8,1,300
103,"true","true","true","true","true","false","true","true",3.9,7,2,300
104,"true","true","true","true","true","true","true","true",4.4,7,2,300
105,"true","true","false","true","false","true","true","true",4.1,9,1,296
106,"true","true","true","true","true","true","false","true",4.2,9,2,300
107,"false","false","false","true","false","false","true","true",4.4,9,1,296
108,"true","false","false","true","false","true","true","true",3.9,5,1,296
109,"true","true","false","true","false","true","false","true",3.1,5,1,296
11,"true","true","false","true","true","false","true","true",4.1,9,2,300
110,"true","false","false","true","false","true","true","true",4.6,7,2,296
111,"true","false","true","true","true","true","true","true",4.6,8,2,300
112,"true","false","true","true","true","true","true","true",4.7,9,2,300
113,"false","false","false","true","false","false","true","true",4.0,7,1,296
114,"true","true","false","true","true","true","true","true",4.3,7,2,300
115,"true","true","true","true","true","false","true","true",4.8,5,2,300
116,"true","true","false","true","true","false","false","true",3.2,10,1,296
117,"true","true","false","true","true","false","true","true",4.4,6,2,300
118,"true","true","true","true","true","true","false","true",3.6,6,1,300
119,"true","true","true","true","true","true","false","true",3.2,9,1,300
12,"true","true","false","true","true","true","true","true",4.0,9,2,300
120,"true","false","false","true","false","false","true","true",3.5,7,1,296
121,"true","false","true","true","true","false","false","true",4.6,6,2,300
122,"true","false","false","true","false","true","false","true",3.4,5,1,296
123,"false","false","true","true","true","false","true","true",3.2,10,1,300
124,"true","false","true","true","true","true","true","true",4.9,5,2,300
125,"true","true","false","true","false","true","false","true",4.0,10,1,296
126,"true","true","false","true","false","true","true","true",4.2,8,1,296
127,"true","true","false","true","false","true","true","true",3.6,8,1,296
128,"false","false","true","true","true","false","false","true",5.0,8,2,300
129,"true","false","false","true","true","false","false","true",3.7,7,1,296
13,"true","true","false","true","true","true","true","true",4.7,10,2,300
130,"false","false","true","true","true","false","true","true",3.8,6,2,300
131,"true","true","false","true","true","false","true","true",4.1,8,2,300
132,"true","true","false","true","false","true","false","true",3.3,6,1,296
133,"true","true","false","true","false","true","true","true",4.1,10,1,296
134,"true","false","true","true","true","true","true","true",3.5,9,2,300
135,"true","false","false","true","false","false","false","true",3.4,10,1,296
136,"true","true","true","true","true","true","true","true",3.6,9,2,300
137,"true","false","true","true","true","true","true","true",3.9,6,2,300
138,"true","false","true","true","true","true","true","true",3.1,10,2,300
139,"true","true","true","true","true","true","false","true",3.4,7,1,300
14,"true","false","true","true","true","true","false","true",4.8,10,2,300
140,"false","false","false","true","true","false","true","true",3.1,5,1,296
141,"true","true","false","true","false","false","true","true",4.1,10,1,296
142,"true","false","true","true","true","true","false","true",4.1,5,2,300
143,"true","true","false","true","true","true","false","true",4.5,10,2,300
144,"true","false","true","true","true","true","true","true",3.4,8,2,300
145,"false","false","true","true","true","false","false","true",4.3,7,1,300
146,"true","false","true","true","true","false","true","true",3.5,5,2,300
147,"true","false","true","true","true","false","true","true",4.3,5,2,300
148,"true","true","false","true","true","false","true","true",3.8,7,2,300
149,"false","false","false","true","false","false","true","true",4.9,5,1,296
15,"true","true","false","true","true","true","false","true",3.9,6,1,300
150,"true","false","true","true","true","false","false","true",3.8,7,2,300
151,"true","false","true","true","true","false","false","true",3.1,9,1,300
152,"true","false","false","true","true","true","true","true",3.3,8,2,300
153,"true","true","false","true","false","false","true","true",4.4,7,1,296
154,"true","true","true","true","true","true","true","true",4.7,9,2,300
155,"true","true","false","true","true","false","true","true",3.5,8,2,300
156,"true","true","false","true","true","false","false","true",3.0,7,1,296
157,"true","false","true","true","true","true","false","true",3.9,6,2,300
158,"true","false","true","true","true","true","false","true",3.9,9,2,300
159,"true","true","false","true","false","false","true","true",4.1,9,1,296
16,"true","false","false","true","false","true","false","true",4.1,7,1,296
160,"true","true","true","true","true","false","true","true",3.0,6,1,300
161,"true","true","false","true","true","false","true","true",4.3,7,2,300
162,"true","false","true","true","true","true","true","true",3.5,8,2,300
163,"true","true","true","true","true","true","false","true",4.5,7,2,300
164,"true","false","false","true","true","true","false","true",4.4,9,2,296
165,"true","false","true","true","true","true","false","true",5.0,6,2,300
166,"true","false","true","true","true","true","true","true",4.0,10,2,300
167,"true","false","false","true","true","true","true","true",3.3,7,2,300
168,"true","true","true","true","true","true","true","true",4.9,9,2,300
169,"true","true","false","true","true","false","true","true",3.1,7,1,300
17,"true","false","true","true","true","false","true","true",4.5,7,2,300
170,"true","true","false","true","true","true","false","true",3.7,10,1,300
171,"true","false","false","true","false","true","true","true",4.2,9,1,296
172,"false","false","true","true","true","false","true","true",4.4,9,2,300
173,"false","false","true","true","true","false","false","true",4.7,8,2,300
174,"true","false","false","true","false","true","false","true",4.3,8,1,296
175,"true","false","true","true","true","true","true","true",3.9,10,2,300
176,"true","false","false","true","true","true","false","true",3.0,8,1,296
177,"true","true","true","true","true","false","false","true",3.8,8,1,300
178,"true","false","true","true","true","true","true","true",4.1,9,2,300
179,"true","false","false","true","true","false","false","true",3.2,8,1,296
18,"true","false","false","true","false","true","false","true",4.0,8,1,296
180,"true","false","true","true","true","true","false","true",3.7,8,2,300
181,"true","true","false","true","false","true","false","true",4.2,6,1,296
182,"true","false","false","true","true","false","true","true",4.2,6,2,300
183,"true","true","false","true","true","false","false","true",3.5,9,1,296
184,"true","false","false","true","true","true","false","true",3.6,5,2,296
185,"true","true","true","true","true","true","false","true",3.3,6,1,300
186,"true","false","false","true","false","false","true","true",3.4,10,1,296
187,"true","false","true","true","true","false","false","true",4.3,8,2,300
188,"true","true","false","true","true","true","false","true",3.2,8,1,300
189,"true","true","true","true","true","false","false","true",3.3,10,1,300
19,"true","false","true","true","true","false","true","true",4.2,8,2,300
190,"true","false","false","true","false","false","false","true",3.7,8,1,296
191,"true","true","false","true","true","false","true","true",4.3,7,2,300
192,"true","false","false","true","true","true","true","true",4.7,6,2,300
193,"true","false","false","true","false","false","false","true",4.4,5,1,296
194,"true","false","false","true","false","true","false","true",3.5,8,1,296
195,"true","false","true","true","true","true","false","true",4.4,6,2,300
196,"true","true","false","true","true","true","false","true",5.0,7,2,300
197,"true","true","true","true","true","false","true","true",3.4,9,2,300
198,"true","true","false","true","true","false","false","true",4.1,8,1,296
199,"true","true","false","true","true","false","true","true",3.8,9,2,300
2,"true","true","false","true","false","true","false","true",3.7,7,1,296
20,"false","false","true","true","true","false","false","true",4.9,7,2,300
200,"true","false","false","true","true","true","true","true",4.5,10,2,300
201,"true","true","true","true","true","false","false","true",4.3,7,2,300
202,"true","false","true","true","true","false","true","true",4.5,8,2,300
203,"false","false","false","true","true","false","false","true",4.0,7,1,296
204,"true","true","true","true","true","true","true","true",4.6,10,2,300
205,"true","false","true","true","true","true","false","true",3.0,8,1,300
206,"true","true","false","true","true","true","true","true",3.4,6,2,300
207,"true","false","true","true","true","false","true","true",5.0,7,2,300
208,"true","true","false","true","true","true","true","true",3.5,5,2,300
209,"true","false","true","true","true","false","false","true",3.3,10,1,300
21,"true","false","true","true","true","false","false","true",3.1,8,1,300
210,"true","false","true","true","true","false","false","true",4.6,10,2,300
211,"true","false","false","true","true","true","true","true",3.7,10,2,300
212,"true","true","true","true","true","false","false","true",3.8,7,1,300
213,"true","false","true","true","true","false","false","true",3.4,10,1,300
214,"false","false","false","true","false","false","true","true",4.5,6,1,296
215,"true","true","true","true","true","false","false","true",5.0,10,2,300
216,"true","true","false","true","true","false","true","true",4.0,9,2,300
217,"true","true","true","true","true","false","true","true",3.8,8,2,300
218,"true","true","true","true","true","true","false","true",3.5,8,1,300
219,"false","false","true","true","true","false","false","true",3.4,5,1,300
22,"true","true","false","true","true","true","true","true",4.9,5,2,300
220,"false","false","true","true","true","false","false","true",3.8,9,1,300
221,"true","false","true","true","true","true","true","true",3.4,8,2,300
222,"true","true","true","true","true","true","false","true",3.1,9,1,300
223,"true","true","true","true","true","false","false","true",4.4,8,2,300
224,"true","true","true","true","true","true","false","true",3.0,5,1,300
225,"true","true","true","true","true","true","false","true",4.5,7,2,300
226,"true","false","false","true","false","false","false","true",4.5,9,1,296
227,"true","true","false","true","true","false","false","true",3.7,10,1,296
228,"true","false","false","true","false","true","false","true",4.2,5,1,296
229,"false","false","false","true","false","false","true","true",3.3,8,1,296
23,"true","false","true","true","true","false","true","true",3.5,9,2,300
230,"true","false","false","true","false","true","false","true",3.5,5,1,296
231,"true","true","false","true","true","false","false","true",3.3,9,1,296
232,"true","false","true","true","true","false","false","true",3.4,9,1,300
233,"true","true","true","true","true","true","true","true",4.5,8,2,300
234,"true","true","false","true","true","true","false","true",3.9,8,1,300
235,"true","true","false","true","true","true","true","true",3.3,7,2,300
236,"false","false","true","true","true","false","true","true",3.2,7,1,300
237,"true","true","false","true","false","false","true","true",4.1,5,1,296
238,"true","false","true","true","true","false","true","true",3.7,5,2,300
239,"true","true","true","true","true","true","true","true",4.7,7,2,300
24,"true","true","true","true","true","true","false","true",4.2,9,2,300
240,"false","false","true","true","true","false","false","true",4.0,10,1,300
241,"true","false","true","true","true","true","true","true",4.5,7,2,300
242,"true","false","true","true","true","true","true","true",4.4,5,(null),300
243,"false","false","true","true","true","false","true","true",4.4,8,(null),300
244,"false","false","true","true","true","false","true","true",4.1,7,2,300
245,"false","false","true","true","true","false","false","true",4.3,9,1,300
246,"true","false","false","true","false","false","true","true",4.9,5,2,296
247,"false","false","false","true","true","false","false","true",3.1,10,1,296
248,"true","true","true","true","true","false","true","true",3.7,5,2,300
249,"true","false","true","true","true","false","true","true",3.9,5,2,300
25,"true","false","true","true","true","false","true","true",4.5,8,2,300
250,"true","true","false","true","true","true","false","true",4.6,9,2,300
251,"true","true","true","true","true","false","false","true",3.4,5,1,300
252,"true","false","false","true","true","true","false","true",4.5,7,2,296
253,"true","false","true","true","true","true","true","true",3.7,6,2,300
254,"true","true","true","true","true","false","false","true",3.1,8,1,300
255,"true","true","true","true","true","false","false","true",4.2,8,1,300
256,"true","false","false","true","true","true","true","true",4.9,6,2,300
257,"true","false","false","true","false","false","true","true",3.8,9,1,296
258,"true","true","false","true","false","false","false","true",3.8,7,1,296
259,"true","false","false","true","true","true","false","true",4.8,10,2,296
26,"true","true","false","true","true","false","false","true",4.1,8,1,296
260,"true","false","true","true","true","true","true","true",3.5,5,2,300
261,"true","true","true","true","true","false","true","true",4.3,7,2,300
262,"true","true","false","true","true","true","true","true",3.4,5,2,300
263,"true","false","true","true","true","false","true","true",3.2,7,2,300
264,"true","true","false","true","false","false","true","true",3.0,7,1,296
265,"true","true","true","true","true","false","true","true",3.7,9,2,300
266,"true","false","true","true","true","true","true","true",3.3,6,2,300
267,"true","true","true","true","true","false","false","true",3.0,6,1,300
268,"true","false","true","true","true","true","true","true",4.9,8,2,300
269,"true","true","false","true","false","false","false","true",3.4,8,1,296
27,"true","false","false","true","true","false","true","true",5.0,7,2,300
270,"true","false","false","true","false","true","false","true",4.3,8,1,296
271,"false","false","true","true","true","false","false","true",4.3,10,1,300
272,"true","false","false","true","true","false","true","true",3.2,8,2,300
273,"true","true","false","true","false","false","false","true",5.0,9,1,296
274,"false","false","false","true","true","false","false","true",3.8,9,1,296
275,"true","false","false","true","true","true","true","true",3.6,9,2,300
276,"true","true","true","true","true","false","false","true",3.9,5,1,300
277,"true","true","false","true","true","true","true","true",4.8,6,2,300
278,"true","false","false","true","false","false","false","true",3.5,8,1,296
279,"true","false","false","true","true","false","true","true",4.2,10,2,300
28,"false","false","true","true","true","false","true","true",3.3,9,1,300
280,"false","false","false","true","true","false","true","true",4.4,8,2,296
281,"false","false","false","true","false","false","true","true",3.1,9,1,296
282,"true","false","true","true","true","true","false","true",4.7,8,2,300
283,"true","true","false","true","false","false","true","true",4.2,8,1,296
284,"true","true","true","true","true","true","true","true",4.5,8,2,300
285,"true","true","true","true","true","true","false","true",4.1,10,1,300
286,"true","false","true","true","true","false","false","true",3.4,6,1,300
287,"true","true","true","true","true","true","false","true",3.5,8,1,300
288,"true","true","true","true","true","true","true","true",3.8,6,2,300
289,"true","false","false","true","false","false","false","true",5.0,8,1,296
29,"true","true","false","true","true","true","true","true",3.4,9,2,300
290,"true","false","false","true","true","true","false","true",3.3,5,1,296
291,"true","true","true","true","true","false","true","true",3.4,5,2,300
292,"false","false","true","true","true","false","true","true",5.0,6,2,300
293,"true","true","false","true","false","true","true","true",3.3,5,1,296
294,"true","true","true","true","true","true","true","true",4.4,9,2,300
295,"true","false","true","true","true","true","true","true",3.4,8,2,300
296,"true","true","true","true","true","false","true","true",4.2,7,2,300
297,"true","true","true","true","true","false","false","true",3.1,10,1,300
298,"true","true","true","true","true","false","false","true",4.5,8,2,300
299,"true","false","false","true","true","true","true","true",3.5,8,2,300
3,"true","false","true","true","true","true","true","true",3.8,8,2,300
30,"true","true","true","true","true","true","true","true",4.9,6,2,300
300,"true","false","false","true","true","true","true","true",4.0,10,2,300
301,"true","false","true","true","true","true","false","true",3.3,8,1,300
31,"false","false","false","true","true","false","true","true",4.5,9,2,296
32,"true","false","false","true","false","true","true","true",3.1,6,1,296
33,"true","true","true","true","true","true","true","true",4.6,6,2,300
34,"true","true","true","true","true","false","false","true",4.0,9,1,300
35,"true","true","true","true","true","false","false","true",4.0,7,1,300
36,"true","true","true","true","true","true","true","true",4.4,8,2,300
37,"false","false","false","true","true","false","true","true",4.8,8,2,296
38,"true","false","false","true","false","false","false","true",4.9,5,1,296
39,"false","false","false","true","true","false","false","true",3.6,9,1,296
4,"true","true","true","true","true","false","true","true",4.7,5,2,300
40,"true","true","true","true","true","true","false","true",3.2,8,1,300
41,"true","true","true","true","true","true","true","true",3.7,9,2,300
42,"true","false","true","true","true","true","false","true",4.8,6,2,300
43,"true","false","true","true","true","false","false","true",4.6,9,2,300
44,"true","true","true","true","true","false","true","true",3.3,6,2,300
45,"true","false","false","true","true","false","true","true",4.6,10,2,300
46,"true","true","false","true","false","false","true","true",4.1,10,1,296
47,"true","true","true","true","true","false","true","true",4.8,8,2,300
48,"true","false","false","true","true","true","true","true",5.0,5,2,300
49,"true","false","true","true","true","true","true","true",4.7,7,2,300
5,"true","true","true","true","true","false","true","true",4.9,9,2,300
50,"true","false","true","true","true","true","false","true",3.5,6,1,300
51,"false","false","false","true","false","false","true","true",4.2,6,1,296
52,"true","true","false","true","true","true","true","true",4.8,8,2,300
53,"true","false","true","true","true","false","false","true",4.9,7,2,300
54,"true","true","true","true","true","true","false","true",4.3,8,2,300
55,"false","false","true","true","true","false","true","true",3.2,10,1,300
56,"true","true","false","true","true","false","true","true",4.6,7,2,300
57,"true","true","true","true","true","true","false","true",4.4,6,2,300
58,"true","true","false","true","false","false","true","true",4.8,9,1,296
59,"true","false","false","true","true","false","true","true",3.3,9,2,300
6,"false","false","false","true","true","false","true","true",3.6,5,2,296
60,"true","true","false","true","false","false","true","true",3.7,8,1,296
61,"true","false","true","true","true","true","true","true",3.3,6,2,300
62,"true","false","true","true","true","true","true","true",3.6,8,2,300
63,"true","true","false","true","true","false","false","true",4.1,6,1,296
64,"false","false","true","true","true","false","false","true",4.4,5,2,300
65,"true","false","false","true","false","true","false","true",3.8,10,1,296
66,"true","true","false","true","false","false","true","true",4.8,8,1,296
67,"true","true","true","true","true","true","true","true",5.0,9,2,300
68,"true","true","true","true","true","false","true","true",4.4,10,2,300
69,"true","false","false","true","true","false","false","true",4.3,6,2,296
7,"true","true","false","true","true","false","true","true",3.1,10,1,300
70,"true","true","true","true","true","false","true","true",3.3,5,2,300
71,"true","false","false","true","true","true","true","true",4.1,6,2,300
72,"true","false","false","true","true","false","false","true",4.9,8,2,296
73,"true","false","true","true","true","true","true","true",4.1,8,2,300
74,"true","false","true","true","true","true","false","true",3.7,8,2,300
75,"true","true","false","true","false","true","true","true",3.6,10,1,296
76,"false","false","false","true","false","false","true","true",4.5,9,1,296
77,"true","false","true","true","true","true","true","true",3.0,9,2,300
78,"true","true","true","true","true","false","false","true",3.0,7,1,300
79,"true","true","true","true","true","true","true","true",3.9,6,2,300
8,"true","false","false","true","false","true","false","true",4.6,9,1,296
80,"true","false","false","true","false","true","false","true",3.5,10,1,296
81,"true","false","true","true","true","true","true","true",3.8,7,2,300
82,"true","false","true","true","true","false","false","true",4.9,8,2,300
83,"true","true","false","true","false","true","false","true",3.0,9,1,296
84,"false","false","false","true","false","false","false","true",3.2,5,1,296
85,"true","true","true","true","true","true","true","true",4.3,5,2,300
86,"true","false","false","true","true","true","true","true",4.2,7,2,300
87,"true","true","false","true","true","true","true","true",3.7,7,2,300
88,"true","true","false","true","false","false","false","true",4.9,9,1,296
89,"true","true","true","true","true","false","true","true",3.2,9,1,300
9,"true","true","true","true","true","true","true","true",4.6,7,2,300
90,"true","true","true","true","true","false","true","true",3.6,6,2,300
91,"true","false","true","true","true","true","true","true",4.0,5,2,300
92,"true","false","false","true","false","true","false","true",4.3,8,1,296
93,"true","false","false","true","false","true","true","true",3.7,7,1,296
94,"true","true","true","true","true","true","false","true",4.6,10,2,300
95,"true","true","true","true","true","true","true","true",4.8,5,2,300
96,"true","false","true","true","true","true","false","true",4.9,9,2,300
97,"false","false","true","true","true","false","true","true",4.3,8,2,300
98,"true","true","false","true","false","true","false","true",4.4,5,1,296
99,"false","false","false","true","false","false","true","true",3.6,8,1,296
